vector_number,hat_w,hatL,hatR,hatv,diag_hat_λ,hatP,hatQ,real_v,var_hatB,L,R,A,w
1001,1.0013733087771817,0.9911297217605054,1.0100336119635123,1.0050774032811947,0.9670093953586216,1.0007526190632574,1.0151619599390127,1.0043215317507592,0.02365247870567333,19141,34240.34,0.8644279062575674,33467.38
1003,1.0009903405014038,0.9908453649350327,0.9975321375967824,1.004250298335171,0.9820977657111869,1.0011721283132726,1.0017719467804898,1.0030745662357625,-0.005552228139847681,92474,104695.4,0.8597576628290992,31443.09
1005,1.001257926575624,0.9994602684768855,0.998547856655099,1.0026348310443682,0.984746059843614,1.0006560959346724,1.0011788615471013,1.0019774377208461,-0.0073346214398655185,14328,13461.86,0.8567939793410605,32658.99
1007,1.0012737233023135,0.9858945658241273,1.0074199531640544,1.0074242829772295,0.9669455804106432,1.0007926182817573,1.0148993239732518,1.0066264124797983,0.02077321232942375,6685,11974.73,0.8403719251931413,32004.64
1009,1.001383960063674,0.9825469749374193,1.0046804426966678,1.0115542362040557,0.9655702604300664,1.0007806550282552,1.0162887578411803,1.0107651772860222,0.01972540751855978,19296,34892.78,0.5905177725361546,25252.64
1011,1.0012546775440776,0.9957380347773173,1.0045394357289321,1.0056023116267698,0.9731936107810168,1.0006336843188997,1.0101671786892652,1.0049654807605763,0.010953344121144015,4243,5443.616,0.7667328134053039,30309.92
1013,1.0011874835216072,0.9919335102079809,0.9986967705006319,1.0043035875898356,0.9819183719974889,1.0007786717987763,1.0029947495281673,1.0035221731741382,-0.004238291901165869,10091,11225.07,0.77301203117905,29931.52
1015,1.0013737329518357,1.0016942912094924,0.9980034724891602,1.001052419682156,0.9880802927349266,1.0005634975843056,0.9990537909864678,1.000488646746589,-0.011328930988912411,66547,59988.89,1.0041100271132672,38750.28
1017,1.0014395126992095,1.000930714624454,1.0076804728379893,1.0038534885344315,0.9721733345252189,1.000548480971743,1.011563557986441,1.0033031958226337,0.015187522106685503,14425,18379.5,0.7795469927313503,31488.6
1019,1.0014420066321712,0.9905906677995787,1.0070950421272953,1.0053371604296852,0.9710427717522236,1.0005413130962981,1.0124700699350693,1.004793252682936,0.015777563159686148,8769,13494.39,0.6616735861127534,28277.11
1021,1.0013838435218878,0.980031341050921,1.004973209177659,1.008060287960279,0.9695694237489998,1.0008119308243018,1.0130735826359967,1.007242476745863,0.015357655771982115,13529,23021.21,0.8034645574493046,31051.37
1023,1.0011682431291167,1.0007595681683057,1.000973103060684,0.9989828941727603,0.9857656701054686,1.0008013138527525,0.9999550074846509,0.998183036278208,-0.005929348562324188,5543,5484.59,1.3438837217053214,44881.47
1025,1.0011482913864533,1.0038881388969774,0.9960243169501346,1.0033983616643296,0.9863876268135527,1.0008145537524678,0.9994091678055981,1.0025817049743873,-0.011585750313574561,13726,11772.39,0.874358654962667,32499.2
1027,1.0014066493599327,0.9921395378321909,1.0015027672661974,1.0050570297415629,0.9783996944570377,1.0005803584166735,1.00656739654652,1.0044740747579468,0.002266947808453157,6945,8244.683,0.7220737938977586,29671.27
1029,1.001484770078592,0.9962045386214967,1.0101792514762267,1.0041015034937426,0.9690141538693198,1.000446732172138,1.0143225052054627,1.0036531393467292,0.0210488992024791,4670,7366.398,0.7932940228188455,32368.31
1031,1.001220695124168,0.9946812928891667,0.999945521359037,1.0084100708042922,0.9750956315350274,1.000791124649883,1.0083551339941015,1.007612923383063,0.004158650929403596,22782,26092.58,0.7532100738627158,29491.22
1033,1.0012891913509814,1.0080186815682168,1.0061568020166527,0.9977642660744781,0.9812552779364627,1.0006817458371426,1.0039073031199894,0.9970845078619638,0.004004268100883834,29775,28109.06,1.0674837715672645,39405.81
1035,1.0011579927399115,0.9987749103046031,1.0034946925970318,1.0026374905024618,0.9776381558191201,1.0008408886621685,1.0061414003180273,1.0017950923674739,0.005106271032881526,5824,6684.222,0.8609950238122929,32227.68
1037,1.001386766456131,1.0018296101178634,1.0146015187619537,1.003730816851916,0.9631991095861085,1.000648285491391,1.0183868112061303,1.003080534294836,0.03209119346198386,2581,5139.4,0.7996576150251983,31740.41
1039,1.0011508816114392,0.9948484050957946,0.996903171458518,1.0019931488235236,0.9869994069483923,1.0008530318607742,0.9988901478418776,1.0011391452355693,-0.011335132270876125,19389,19669.86,0.8107295329380899,30873.33
1041,1.0011915575225938,0.9958631623030819,1.003428958415884,1.0041959767088091,0.9760255719417388,1.0007360627463773,1.0076393229543417,1.0034573691218207,0.006789651003681119,6229,7582.802,0.8562121400927813,32497.19
1043,1.0012905017390548,0.9905613691426678,0.9986707545170287,1.0050411374841883,0.9812440891180281,1.0008240054572712,1.0037051910919872,1.0042136599481248,-0.0035150282721563286,42907,48670.2,0.797761990773283,31460.74
1045,1.0012056483213685,1.0090459323451029,1.0085284708140858,0.9948347198491545,0.9818285081644333,1.0006393127452249,1.0033191387222273,0.994199115683207,0.005886953524399274,28601,27658.99,1.6132838793221829,52548.93
1047,1.0012239580804754,0.9959129417866411,0.9963352325742203,1.0020812924500715,0.9880273011570679,1.0007718134992982,0.9984088975715173,1.0013084690566918,-0.012943825513883622,21121,20560.31,0.9018205427823668,33819.28
